Time,PosX,PosY,PosZ,VelX,VelY,VelZ,ForceX,ForceY,ForceZ,IncidenceAngle,DistanceAU
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00000
0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.136,-0.375,-1.096,26.91,7.07107
0.122,0.000,-0.001,-0.002,0.023,-0.062,-0.183,0.136,-0.375,-1.096,26.91,7.07107
0.163,0.004,-0.011,-0.032,0.114,-0.312,-0.913,0.136,-0.375,-1.096,26.91,7.07107
0.183,0.011,-0.030,-0.087,0.205,-0.562,-1.644,0.136,-0.375,-1.096,26.91,7.07108
0.191,0.016,-0.044,-0.129,0.259,-0.712,-2.083,0.136,-0.375,-1.096,26.91,7.07108
0.200,0.018,-0.050,-0.147,0.282,-0.775,-2.266,0.136,-0.375,-1.096,26.91,7.07108
0.208,0.021,-0.057,-0.168,0.305,-0.837,-2.448,0.136,-0.375,-1.096,26.91,7.07108
0.216,0.024,-0.065,-0.190,0.328,-0.900,-2.631,0.136,-0.375,-1.096,26.91,7.07109
0.225,0.027,-0.073,-0.213,0.350,-0.962,-2.814,0.136,-0.375,-1.096,26.91,7.07109
0.233,0.030,-0.081,-0.238,0.373,-1.025,-2.996,0.136,-0.375,-1.096,26.91,7.07109
0.241,0.033,-0.091,-0.265,0.396,-1.087,-3.179,0.136,-0.375,-1.096,26.91,7.07109
0.250,0.036,-0.100,-0.293,0.418,-1.150,-3.362,0.136,-0.375,-1.096,26.91,7.07110
0.258,0.040,-0.110,-0.322,0.441,-1.212,-3.544,0.136,-0.375,-1.096,26.91,7.07110
0.266,0.044,-0.121,-0.353,0.464,-1.275,-3.727,0.136,-0.375,-1.096,26.91,7.07110
0.275,0.048,-0.132,-0.386,0.487,-1.337,-3.910,0.136,-0.375,-1.096,26.91,7.07110
0.283,0.052,-0.144,-0.420,0.509,-1.400,-4.092,0.136,-0.375,-1.096,26.91,7.07111
0.291,0.057,-0.156,-0.456,0.532,-1.462,-4.275,0.136,-0.375,-1.096,26.91,7.07111
0.300,0.061,-0.169,-0.493,0.555,-1.525,-4.458,0.136,-0.375,-1.096,26.91,7.07111
0.308,0.066,-0.182,-0.531,0.578,-1.587,-4.640,0.136,-0.375,-1.096,26.91,7.07112
0.316,0.071,-0.195,-0.572,0.600,-1.650,-4.823,0.136,-0.375,-1.096,26.91,7.07112
0.325,0.076,-0.210,-0.613,0.623,-1.712,-5.006,0.136,-0.375,-1.096,26.91,7.07113
0.333,0.082,-0.225,-0.657,0.646,-1.775,-5.188,0.136,-0.375,-1.096,26.91,7.07113
0.341,0.087,-0.240,-0.701,0.669,-1.837,-5.371,0.136,-0.375,-1.096,26.91,7.07113
0.350,0.093,-0.256,-0.748,0.691,-1.899,-5.554,0.136,-0.375,-1.096,26.91,7.07114
0.358,0.099,-0.272,-0.795,0.714,-1.962,-5.736,0.136,-0.375,-1.096,26.91,7.07114
0.366,0.105,-0.289,-0.845,0.737,-2.024,-5.919,0.136,-0.375,-1.096,26.91,7.07115
0.375,0.111,-0.306,-0.896,0.760,-2.087,-6.102,0.136,-0.375,-1.096,26.91,7.07115
0.383,0.118,-0.324,-0.948,0.782,-2.149,-6.284,0.136,-0.375,-1.096,26.91,7.07116
0.391,0.125,-0.343,-1.002,0.805,-2.212,-6.467,0.136,-0.375,-1.096,26.91,7.07116
0.400,0.132,-0.362,-1.057,0.828,-2.274,-6.649,0.136,-0.375,-1.096,26.91,7.07117
0.408,0.139,-0.381,-1.114,0.850,-2.337,-6.832,0.136,-0.375,-1.096,26.91,7.07117
