Time,PosX,PosY,PosZ,VelX,VelY,VelZ,ForceX,ForceY,ForceZ,IncidenceAngle,DistanceAU
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00000
0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.097,-0.266,-0.777,26.91,7.07107
0.420,0.002,-0.006,-0.017,0.064,-0.177,-0.518,0.097,-0.266,-0.777,26.91,7.07107
0.509,0.006,-0.018,-0.052,0.129,-0.354,-1.036,0.097,-0.266,-0.777,26.91,7.07107
0.540,0.013,-0.035,-0.104,0.193,-0.531,-1.553,0.097,-0.266,-0.777,26.91,7.07108
0.641,0.021,-0.057,-0.167,0.253,-0.696,-2.035,0.097,-0.265,-0.777,26.92,7.07108
0.649,0.031,-0.086,-0.252,0.318,-0.873,-2.553,0.097,-0.265,-0.777,26.92,7.07109
0.658,0.034,-0.094,-0.274,0.334,-0.917,-2.683,0.097,-0.265,-0.777,26.92,7.07109
0.666,0.037,-0.102,-0.298,0.350,-0.961,-2.812,0.097,-0.265,-0.777,26.92,7.07110
0.674,0.040,-0.110,-0.322,0.366,-1.006,-2.942,0.097,-0.265,-0.777,26.93,7.07110
0.683,0.043,-0.119,-0.348,0.382,-1.050,-3.071,0.096,-0.265,-0.777,26.93,7.07110
0.691,0.047,-0.128,-0.375,0.398,-1.094,-3.201,0.096,-0.265,-0.777,26.93,7.07110
0.699,0.050,-0.138,-0.402,0.414,-1.139,-3.330,0.096,-0.265,-0.776,26.93,7.07111
0.708,0.054,-0.147,-0.431,0.430,-1.183,-3.460,0.096,-0.265,-0.776,26.93,7.07111
0.716,0.057,-0.158,-0.461,0.446,-1.227,-3.589,0.096,-0.265,-0.776,26.93,7.07111
0.724,0.061,-0.168,-0.492,0.463,-1.271,-3.718,0.096,-0.265,-0.776,26.93,7.07111
0.733,0.065,-0.179,-0.524,0.479,-1.315,-3.848,0.096,-0.265,-0.776,26.94,7.07112
0.741,0.069,-0.191,-0.557,0.495,-1.359,-3.977,0.096,-0.265,-0.776,26.94,7.07112
0.749,0.074,-0.202,-0.591,0.511,-1.404,-4.107,0.096,-0.265,-0.776,26.94,7.07112
0.758,0.078,-0.214,-0.627,0.527,-1.448,-4.236,0.096,-0.265,-0.776,26.94,7.07113
0.766,0.083,-0.227,-0.663,0.543,-1.492,-4.366,0.096,-0.265,-0.776,26.94,7.07113
0.774,0.087,-0.240,-0.701,0.559,-1.536,-4.495,0.096,-0.265,-0.776,26.94,7.07113
0.783,0.092,-0.253,-0.739,0.575,-1.580,-4.624,0.096,-0.265,-0.776,26.95,7.07114
0.791,0.097,-0.266,-0.779,0.591,-1.624,-4.754,0.096,-0.265,-0.776,26.95,7.07114
0.799,0.102,-0.280,-0.819,0.607,-1.669,-4.883,0.096,-0.265,-0.776,26.95,7.07115
0.808,0.107,-0.294,-0.861,0.623,-1.713,-5.012,0.096,-0.265,-0.776,26.95,7.07115
0.816,0.112,-0.309,-0.904,0.639,-1.757,-5.142,0.096,-0.265,-0.776,26.96,7.07115
0.824,0.118,-0.324,-0.948,0.655,-1.801,-5.271,0.096,-0.265,-0.776,26.96,7.07116
0.833,0.124,-0.339,-0.993,0.671,-1.845,-5.401,0.096,-0.265,-0.776,26.96,7.07116
0.841,0.129,-0.355,-1.039,0.687,-1.889,-5.530,0.096,-0.265,-0.776,26.96,7.07117
0.849,0.135,-0.371,-1.086,0.703,-1.933,-5.660,0.096,-0.264,-0.776,26.96,7.07117
0.858,0.141,-0.388,-1.135,0.719,-1.977,-5.789,0.096,-0.264,-0.776,26.97,7.07118
0.866,0.147,-0.405,-1.184,0.735,-2.021,-5.918,0.096,-0.264,-0.776,26.97,7.07118
0.874,0.153,-0.422,-1.234,0.751,-2.066,-6.048,0.096,-0.264,-0.776,26.97,7.07119
0.883,0.160,-0.439,-1.286,0.767,-2.110,-6.177,0.096,-0.264,-0.776,26.97,7.07119
0.891,0.166,-0.457,-1.338,0.783,-2.154,-6.306,0.096,-0.264,-0.776,26.98,7.07119
0.899,0.173,-0.476,-1.392,0.799,-2.198,-6.436,0.096,-0.264,-0.776,26.98,7.07120
