SailName,Timestamp(s),DistEarth(Km),DistSun(Km),Velocity(Km/s),TotalForce(N),SolarPressure(Pa),IncidenceAngle(deg),ActivePhotons
SolarSail_1,0.008,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,90.00,0
SolarSail_1,0.145,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,90.00,0
SolarSail_1,0.187,42157.00,1.0000,3.0749,2.0186e+01,0.0000e+00,90.00,0
SolarSail_1,0.206,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.216,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.224,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.271,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.280,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.288,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.296,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.305,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.313,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.321,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.330,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.338,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.346,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.356,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.364,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.372,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.381,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.389,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.397,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.406,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,100
SolarSail_1,0.414,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.422,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.431,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.439,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.447,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.456,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.464,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.472,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.481,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.489,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.497,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.506,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.514,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.522,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.531,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.539,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.547,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.556,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.564,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.572,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.581,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.589,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.597,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.606,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.614,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.622,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.631,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.639,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.647,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.656,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.664,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.672,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.681,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.689,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.697,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.706,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.714,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.722,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.731,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.739,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.747,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.756,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.764,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.772,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.781,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.789,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.797,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.806,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.814,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.822,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.831,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.839,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.847,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.856,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.864,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
SolarSail_1,0.872,42157.00,1.0000,3.0749,2.0186e+01,4.5404e-06,90.00,0
