Time,PosX,PosY,PosZ,VelX,VelY,VelZ,ForceX,ForceY,ForceZ,IncidenceAngle,DistanceAU
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00000
0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.178,0.000,0.000,0.000,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.222,0.000,0.000,0.000,0.000,-0.001,-0.003,0.000,-0.001,-0.003,26.93,7.07390
0.243,0.000,-0.000,-0.000,0.001,-0.002,-0.005,0.000,-0.001,-0.003,26.93,7.07390
0.251,0.000,-0.000,-0.000,0.001,-0.002,-0.006,0.000,-0.001,-0.003,26.93,7.07390
0.259,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.268,0.000,-0.000,-0.000,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.276,0.000,-0.000,-0.000,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.284,0.000,-0.000,-0.000,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.293,0.000,-0.000,-0.000,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.301,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.309,0.000,-0.000,-0.000,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.318,0.000,-0.000,-0.000,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.326,0.000,-0.000,-0.000,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.334,0.000,-0.000,-0.000,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.343,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.351,0.000,-0.000,-0.000,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.359,0.000,-0.000,-0.000,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.368,0.000,-0.000,-0.000,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.376,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.384,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.393,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.401,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.409,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.418,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.426,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.434,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.443,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.451,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.459,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.468,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.476,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.484,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.493,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.501,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.509,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.518,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.526,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.534,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.543,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.551,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.559,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.568,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.576,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.584,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.593,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.601,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.609,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.618,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.626,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.634,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.643,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.651,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.659,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.668,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.676,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.684,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.693,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.701,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.709,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.718,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,-0.001,-0.003,26.93,7.07390
0.726,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.734,0.000,-0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.001,-0.003,26.93,7.07390
0.743,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
0.751,0.000,-0.000,-0.001,0.000,-0.001,-0.002,0.000,-0.001,-0.003,26.93,7.07390
