SailName,Timestamp(s),DistEarth(Km),DistSun(Km),Velocity(Km/s),TotalForce(N),SolarPressure(Pa),IncidenceAngle(deg),ActivePhotons
SolarSail_1,0.008,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.132,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.142,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.151,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.159,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.167,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.176,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.185,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.193,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,0
SolarSail_1,0.203,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.212,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.221,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.230,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.238,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.247,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.258,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.269,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.279,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.307,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.316,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.325,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.335,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.343,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.352,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.361,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.369,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
SolarSail_1,0.378,42157.00,1.0000,3.0749,1.1214e+00,0.0000e+00,0.00,99
